"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","v","dcorr"
"mean","2.5%",0.1,"rich",2.2951904296875,2.1820556640625,1.5208740234375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.1,"abun",2.785400390625,3.3265380859375,3.2175048828125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.2,"rich",2.3939453125,2.775830078125,3.9001220703125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.2,"abun",3.1334716796875,4.79755859375,11.4982666015625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.3,"rich",2.40595703125,3.017626953125,5.6315185546875,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.3,"abun",3.2941650390625,5.7171142578125,20.2150634765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.4,"rich",2.358056640625,3.0696533203125,6.961279296875,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.4,"abun",3.3505615234375,6.2613525390625,29.455859375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.5,"rich",2.3562255859375,3.170947265625,7.9943603515625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.5,"abun",3.5303955078125,6.8679931640625,38.8882568359375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.6,"rich",2.3726806640625,3.160546875,8.847314453125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.6,"abun",3.67275390625,7.22470703125,48.00458984375,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.7,"rich",2.3728271484375,3.12939453125,9.5744384765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.7,"abun",3.7595458984375,7.6859130859375,57.3946533203125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.8,"rich",2.3790771484375,3.1368896484375,10.185986328125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.8,"abun",3.9061279296875,7.923828125,66.6833251953125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.9,"rich",2.3774658203125,3.0752197265625,10.70390625,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",0.9,"abun",4.01640625,8.2191162109375,76.2578125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",1,"rich",2.3724609375,3.1261474609375,11.1581298828125,0.000977517106549364,"a0.5","a0.5","1"
"mean","2.5%",1,"abun",4.1292724609375,8.647021484375,85.62275390625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.1,"rich",2.4296875,2.2509765625,1.5908203125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.1,"abun",2.94873046875,3.498046875,3.572265625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.2,"rich",2.46875,2.8779296875,3.99462890625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.2,"abun",3.18896484375,5.01025390625,11.77099609375,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.3,"rich",2.4921875,3.09619140625,5.7392578125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.3,"abun",3.45166015625,5.87646484375,20.69189453125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.4,"rich",2.44287109375,3.18505859375,7.05419921875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.4,"abun",3.54443359375,6.4912109375,29.90087890625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.5,"rich",2.470703125,3.263671875,8.087890625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.5,"abun",3.673828125,7.068359375,39.12060546875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.6,"rich",2.43798828125,3.30517578125,8.978515625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.6,"abun",3.845703125,7.65771484375,48.50634765625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.7,"rich",2.42919921875,3.27490234375,9.73583984375,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.7,"abun",3.94140625,7.9921875,57.8466796875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.8,"rich",2.4189453125,3.30029296875,10.36767578125,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.8,"abun",4.080078125,8.4970703125,67.244140625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.9,"rich",2.3974609375,3.30126953125,10.919921875,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",0.9,"abun",4.17138671875,8.99609375,76.7275390625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",1,"rich",2.38818359375,3.2705078125,11.39306640625,0.000977517106549364,"a0.5","a0.5","1"
"mean","50%",1,"abun",4.29541015625,9.3486328125,86.20458984375,0.000977517106549364,"a0.5","a0.5","1"
"mean","97.5%",0.1,"rich",2.5336181640625,2.4042236328125,1.6215087890625,0.000977517106549364,"a0.5","a0.5","1"
